"Story","Title","Result","Date","Stability","Duration (s)"
"Comprar productos en Product Store","Registro de un nuevo usuario","PENDING","2024-10-26T07:42:42.034438-05:00[America/Bogota]","0.0","0.06"
"Comprar productos en Product Store","Compra de un producto","PENDING","2024-10-26T07:42:42.096275-05:00[America/Bogota]","0.0","0.02"
